DEST,TAXI_IN
ABI,3.0
ABQ,4.0
ABR,4.0
ABY,3.0
ACK,6.0
ACT,3.0
ACV,4.0
ACY,4.0
AGS,4.0
ALB,3.0
ALO,4.0
AMA,4.0
ANC,4.0
APN,4.0
ASE,3.0
ATL,7.0
ATW,4.0
AUS,5.0
AVL,5.0
AVP,4.0
AZO,3.0
BDL,4.0
BET,4.0
BFF,3.0
BFL,4.0
BFM,9.0
BGM,3.0
BGR,4.0
BIL,3.0
BJI,4.0
BLI,5.0
BLV,7.0
BNA,5.0
BOI,3.0
BOS,6.0
BPT,4.0
BQK,3.0
BRD,4.0
BRO,4.0
BRW,4.0
BTM,3.0
BTR,4.0
BUF,3.0
BUR,2.0
BWI,4.0
BZN,4.0
CAE,4.0
CAK,4.0
CDB,3.0
CDC,3.0
CDV,4.0
CGI,4.0
CHA,4.0
CHO,4.0
CHS,5.0
CID,5.0
CKB,3.0
CLL,4.0
CMH,5.0
CMI,5.0
CMX,4.0
CNY,4.0
COD,3.0
COS,6.0
COU,4.0
CPR,3.0
CRP,4.0
CRW,3.0
CSG,3.0
CVG,5.0
CWA,3.0
CYS,3.0
DAY,5.0
DBQ,5.0
DEC,4.0
DFW,11.0
DLG,5.0
DLH,5.0
DRT,3.0
DSM,5.0
DTW,8.0
DVL,5.0
EAR,4.0
EAU,3.0
EGE,4.0
EKO,4.0
ELM,4.0
ELP,3.0
ERI,3.0
ESC,4.0
EUG,5.0
EVV,4.0
EWN,3.0
EWR,7.0
EYW,4.0
FAI,3.0
FAR,4.0
FAT,4.0
FAY,4.0
FCA,4.0
FLG,3.0
FLL,5.0
FNT,5.0
FSM,4.0
FWA,5.0
GCC,4.0
GCK,4.0
GEG,4.0
GFK,4.0
GGG,4.0
GJT,3.0
GNV,3.0
GPT,4.0
GRB,4.0
GRI,4.0
GRK,3.0
GRR,5.0
GSO,4.0
GSP,3.0
GST,6.0
GTF,4.0
GTR,3.0
GUC,4.0
HDN,4.0
HGR,6.0
HHH,6.0
HIB,3.0
HLN,2.0
HNL,6.0
HOU,5.0
HPN,4.0
HRL,2.0
HSV,4.0
HTS,6.0
HVN,4.0
HYA,4.5
IAG,6.0
ICT,4.0
IDA,3.0
ILM,4.0
IMT,4.0
IND,5.0
INL,3.0
ISP,4.0
ITH,4.0
JAC,3.0
JAN,4.0
JAX,4.5
JFK,7.0
JLN,4.0
JMS,4.0
JNU,4.0
KOA,5.0
KTN,4.0
LAN,3.0
LAS,6.0
LAW,3.0
LAX,7.0
LBB,3.0
LBE,6.0
LBF,4.0
LBL,4.0
LCH,4.0
LCK,5.0
LEX,5.0
LFT,5.0
LGA,6.0
LIH,5.0
LIT,4.0
LRD,4.0
LSE,3.0
LWB,3.0
LWS,5.0
MAF,3.0
MBS,4.0
MCI,5.0
MCO,7.0
MDT,5.0
MDW,4.0
MFR,3.0
MGM,3.0
MHK,3.0
MHT,4.0
MIA,6.0
MKG,4.0
MLB,4.0
MLU,4.0
MMH,4.0
MOB,4.0
MOT,5.0
MQT,5.0
MRY,3.0
MSN,4.0
MSO,4.0
MSP,5.0
MSY,4.0
MTJ,4.0
MVY,5.0
MYR,5.0
OAJ,3.0
OAK,5.0
OGG,6.0
OGS,3.5
OKC,4.0
OMA,4.0
OME,3.0
ONT,4.0
ORD,10.0
ORF,4.0
ORH,4.0
OTH,3.0
OTZ,4.0
PAE,4.0
PAH,4.0
PBI,4.0
PDX,4.0
PGD,6.0
PHF,4.0
PHL,6.0
PHX,5.0
PIA,4.0
PIB,4.0
PIE,7.0
PIH,3.0
PIR,5.0
PIT,5.0
PLN,5.0
PNS,4.0
PRC,2.0
PSC,4.0
PSG,4.0
PSM,5.0
PSP,5.0
PUB,3.0
PVD,4.0
PVU,5.0
PWM,3.0
RAP,4.0
RDD,4.0
RDM,4.0
RDU,4.0
RFD,6.0
RHI,4.0
RIC,5.0
RIW,4.0
RKS,2.0
RNO,4.0
ROA,5.0
ROC,5.0
ROW,4.0
RST,4.0
RSW,4.0
SAF,4.0
SAN,3.0
SAT,4.0
SAV,5.0
SBA,4.0
SBN,4.0
SBP,4.0
SCC,4.0
SCE,3.0
SCK,7.0
SDF,5.0
SEA,7.0
SFB,6.0
SFO,5.0
SGF,5.0
SGU,3.0
SHD,4.0
SHR,4.0
SHV,4.0
SIT,4.0
SJC,3.0
SJT,3.0
SJU,5.0
SLC,6.0
SLN,4.0
SMF,4.0
SNA,4.0
SPI,4.0
SPS,6.0
SRQ,4.0
STC,9.0
STS,4.0
STT,4.0
STX,3.0
SUN,3.0
SUX,4.0
SWF,5.0
SWO,3.0
SYR,4.0
TLH,3.0
TOL,3.0
TPA,4.0
TRI,4.0
TTN,8.0
TUL,4.0
TVC,4.0
TWF,3.0
TXK,3.0
TYR,4.0
TYS,4.0
UIN,2.0
VEL,3.0
VLD,5.0
VPS,8.0
WRG,4.0
WYS,4.0
XNA,5.0
YAK,4.0
